id,species,height,dbh,lat,lng,condition
420,Deciduous,9,5.08,52.365933,4.894517,excellent
421,Deciduous,6,2.54,52.359453,4.899817,fair
422,Deciduous,15,10.16,52.36034,4.896489,good
423,Deciduous,9,5.08,52.360618,4.897916,excellent
424,Deciduous,9,5.08,52.360554,4.897949,fair
425,Deciduous,15,10.16,52.360722,4.900637,good
426,Deciduous,9,7.62,52.360681,4.900531,excellent
427,Deciduous,9,7.62,52.36063,4.898418,fair
428,Deciduous,18,12.7,52.359517,4.887106,good
429,Deciduous,15,10.16,52.359536,4.887135,excellent
430,Deciduous,18,12.7,52.359431,4.887059,fair
431,Deciduous,18,12.7,52.359486,4.887074,fair
432,Deciduous,18,12.7,52.35954,4.887066,good
433,Deciduous,18,12.7,52.359518,4.88719,excellent
434,Deciduous,18,12.7,52.359491,4.887146,fair
435,Deciduous,18,12.7,52.359468,4.88712,good
436,Evergreen,9,7.62,52.358631,4.890453,fair
437,Evergreen,9,7.62,52.358605,4.890438,good
438,Evergreen,9,7.62,52.358651,4.890404,excellent
439,Deciduous,15,10.16,52.360589,4.899304,good
440,Deciduous,15,10.16,52.360044,4.898813,fair
441,Deciduous,6,2.54,52.362712,4.893954,fair
442,Deciduous,6,2.54,52.362678,4.894238,good
443,Deciduous,6,2.54,52.362745,4.893738,excellent
444,Deciduous,6,2.54,52.362669,4.894289,fair
445,Deciduous,9,5.08,52.358823,4.886029,fair
446,Deciduous,9,5.08,52.35876,4.886012,good
447,Deciduous,9,5.08,52.358793,4.88573,excellent
448,Deciduous,9,5.08,52.358772,4.885902,fair
449,Deciduous,9,5.08,52.358817,4.88559,good
450,Deciduous,9,5.08,52.35889,4.885504,fair
451,Deciduous,9,5.08,52.358876,4.885612,good
452,Deciduous,9,5.08,52.358856,4.885751,excellent
453,Deciduous,9,5.08,52.358834,4.885916,fair
454,Deciduous,15,10.16,52.363952,4.892714,fair
455,Deciduous,15,10.16,52.363502,4.893887,good
456,Deciduous,9,5.08,52.36377,4.894104,excellent
457,Deciduous,9,7.62,52.363654,4.892769,fair
458,Deciduous,18,12.7,52.359389,4.890889,good
459,Deciduous,15,10.16,52.359151,4.89211,excellent
460,Deciduous,9,7.62,52.359068,4.892361,fair
461,Deciduous,9,7.62,52.363606,4.893141,good
462,Deciduous,6,2.54,52.361028,4.89535,good
463,Deciduous,9,5.08,52.360967,4.895811,excellent
464,Deciduous,9,5.08,52.361069,4.895028,fair
465,Deciduous,9,5.08,52.362864,4.892872,excellent
466,Deciduous,9,5.08,52.362812,4.893245,fair
467,Deciduous,9,5.08,52.362841,4.893041,good
468,Deciduous,6,2.54,52.36114,4.894541,fair
469,Deciduous,9,5.08,52.362416,4.895769,good
470,Deciduous,9,7.62,52.359116,4.892235,excellent
471,Deciduous,9,5.08,52.359031,4.892465,fair
472,Deciduous,6,2.54,52.361158,4.894402,good
473,Deciduous,9,5.08,52.361291,4.893186,excellent
474,Deciduous,9,5.08,52.361256,4.893443,fair
475,Deciduous,9,5.08,52.361478,4.892033,good
476,Deciduous,9,5.08,52.361504,4.891857,excellent
477,Deciduous,15,10.16,52.363399,4.89698,fair
478,Deciduous,15,10.16,52.363629,4.892956,fair
479,Deciduous,24,17.78,52.360342,4.898872,excellent
480,Deciduous,15,10.16,52.366124,4.885821,good
481,Deciduous,18,12.7,52.359046,4.891617,excellent
482,Deciduous,18,12.7,52.359102,4.891672,fair
483,Deciduous,6,2.54,52.361566,4.899656,excellent
484,Deciduous,6,2.54,52.361573,4.899698,fair
485,Deciduous,15,10.16,52.363527,4.893688,good
486,Deciduous,6,2.54,52.360836,4.900465,excellent
487,Deciduous,9,5.08,52.359415,4.897147,fair
488,Deciduous,18,12.7,52.359044,4.891543,good
489,Deciduous,6,2.54,52.363925,4.890775,good
490,Deciduous,15,10.16,52.363394,4.894657,excellent
491,Deciduous,9,7.62,52.363285,4.896372,fair
492,Deciduous,15,10.16,52.363352,4.894995,good
493,Deciduous,15,10.16,52.363376,4.894813,excellent
494,Deciduous,15,10.16,52.363435,4.89717,fair
495,Deciduous,15,10.16,52.364423,4.900733,good
496,Deciduous,15,10.16,52.363992,4.898498,fair
497,Deciduous,15,10.16,52.364033,4.898674,good
498,Deciduous,15,10.16,52.363638,4.8966,excellent
499,Deciduous,15,10.16,52.363641,4.895033,fair
500,Deciduous,9,7.62,52.363692,4.896872,good
501,Deciduous,15,10.16,52.363693,4.894667,excellent
502,Deciduous,9,7.62,52.363719,4.897007,fair
503,Deciduous,9,7.62,52.363743,4.897134,good
504,Deciduous,9,7.62,52.363768,4.897271,excellent
505,Deciduous,15,10.16,52.363585,4.896307,fair
506,Deciduous,9,7.62,52.363903,4.890936,fair
507,Deciduous,15,10.16,52.363785,4.891803,good
508,Deciduous,15,10.16,52.364201,4.8909,excellent
509,Deciduous,18,12.7,52.364335,4.889925,fair
510,Deciduous,15,10.16,52.365589,4.88675,good
511,Deciduous,15,10.16,52.364307,4.89013,excellent
512,Deciduous,15,10.16,52.364254,4.890512,fair
513,Deciduous,15,10.16,52.364228,4.890712,good
